"Var1.X1","Var1.X2","Var1.X3","Var1.X4","Var1.X5","Var2.X1","Var2.X2","Var3.X1","Var3.X2","Var4","Var5","Var6"
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-7,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-7,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-7,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-7,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-7,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-7,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-7,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-7,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-7,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-7,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-7,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-8,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-8,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-8,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-8,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-8,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-8,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-8,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-8,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-8,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-8,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-8,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-8,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"var",0,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"var",0,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"var",0,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"var",0,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"var",0,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"var",0,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"var",0,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"var",0,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"var",0,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"var",0,0.07,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"var",0,0.07,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"var",0,0.07,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-6,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-6,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-6,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-6,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-6,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-6,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-6,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-6,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-6,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-6,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-6,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-6,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-7,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-7,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-7,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-7,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-7,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-7,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-7,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-7,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-7,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-7,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-7,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-7,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-8,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-8,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-8,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-8,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-8,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-8,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-8,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-8,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-8,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-8,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-8,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-8,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"var",0,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"var",0,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"var",0,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"var",0,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"var",0,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"var",0,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"var",0,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"var",0,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"var",0,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"var",0,0.10,"with",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"var",0,0.10,"with",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"var",0,0.10,"with",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-6,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-6,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-6,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-6,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-6,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-6,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-6,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-6,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-6,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-6,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-6,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-6,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-7,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-7,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-7,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-7,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-7,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-7,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-7,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-7,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-7,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-7,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-7,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-7,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-8,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-8,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-8,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-8,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-8,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-8,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-8,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-8,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-8,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-8,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-8,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-8,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"var",0,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"var",0,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"var",0,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"var",0,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"var",0,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"var",0,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"var",0,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"var",0,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"var",0,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"var",0,0.01,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"var",0,0.01,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"var",0,0.01,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-6,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-6,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-6,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-6,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-6,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-6,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-6,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-6,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-6,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-6,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-6,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-6,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-7,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-7,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-7,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-7,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-7,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-7,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-7,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-7,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-7,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-7,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-7,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-7,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-8,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-8,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-8,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-8,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-8,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-8,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-8,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-8,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-8,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-8,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-8,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-8,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"var",0,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"var",0,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"var",0,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"var",0,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"var",0,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"var",0,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"var",0,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"var",0,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"var",0,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"var",0,0.07,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"var",0,0.07,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"var",0,0.07,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-6,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-6,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-6,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-6,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-6,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-6,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-6,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-6,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-6,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-6,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-6,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-6,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-7,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-7,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-7,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-7,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-7,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-7,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-7,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-7,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-7,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"var",0,"fix",2e-7,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"var",0,"fix",2e-7,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"var",0,"fix",2e-7,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-6,"fix",2e-8,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-6,"fix",2e-8,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-6,"fix",2e-8,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-7,"fix",2e-8,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-7,"fix",2e-8,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-7,"fix",2e-8,0.10,"without",0.38
"DFE1",0.5,0.24,0.12,0.13,"fix",9.8e-8,"fix",2e-8,0.10,"without",0.38
"DFE2",0.1,0.7,0.1,0.1,"fix",9.8e-8,"fix",2e-8,0.10,"without",0.38
"DFE3",0.1,0.1,0.1,0.7,"fix",9.8e-8,"fix",2e-8,0.10,"without",0.38
